,DateTime,FolderPath,FileName
0,2020-06-18 06:32:34,/content/bkk_radar_images_1/,1592461954.png
1,2020-06-18 06:35:36,/content/bkk_radar_images_1/,1592462136.png
2,2020-06-18 06:46:08,/content/bkk_radar_images_1/,1592462768.png
3,2020-06-18 06:51:08,/content/bkk_radar_images_1/,1592463068.png
4,2020-06-18 06:54:37,/content/bkk_radar_images_1/,1592463277.png
5,2020-06-18 07:01:04,/content/bkk_radar_images_1/,1592463664.png
6,2020-06-18 07:05:02,/content/bkk_radar_images_1/,1592463902.png
7,2020-06-18 07:10:05,/content/bkk_radar_images_1/,1592464205.png
8,2020-06-18 07:18:18,/content/bkk_radar_images_1/,1592464698.png
9,2020-06-18 07:25:53,/content/bkk_radar_images_1/,1592465153.png
10,2020-06-18 07:30:54,/content/bkk_radar_images_1/,1592465454.png
11,2020-06-18 07:40:58,/content/bkk_radar_images_1/,1592466058.png
12,2020-06-18 07:45:59,/content/bkk_radar_images_1/,1592466359.png
13,2020-06-18 07:56:03,/content/bkk_radar_images_1/,1592466963.png
14,2020-06-18 08:01:05,/content/bkk_radar_images_1/,1592467265.png
15,2020-06-18 08:06:06,/content/bkk_radar_images_1/,1592467566.png
16,2020-06-18 08:11:08,/content/bkk_radar_images_1/,1592467868.png
17,2020-06-18 08:16:10,/content/bkk_radar_images_1/,1592468170.png
18,2020-06-18 08:21:12,/content/bkk_radar_images_1/,1592468472.png
19,2020-06-18 08:26:14,/content/bkk_radar_images_1/,1592468774.png
20,2020-06-18 08:36:18,/content/bkk_radar_images_1/,1592469378.png
21,2020-06-18 08:41:20,/content/bkk_radar_images_1/,1592469680.png
22,2020-06-18 08:46:22,/content/bkk_radar_images_1/,1592469982.png
23,2020-06-18 08:51:23,/content/bkk_radar_images_1/,1592470283.png
24,2020-06-18 08:56:25,/content/bkk_radar_images_1/,1592470585.png
25,2020-06-18 09:01:26,/content/bkk_radar_images_1/,1592470886.png
26,2020-06-18 09:06:28,/content/bkk_radar_images_1/,1592471188.png
27,2020-06-18 09:11:29,/content/bkk_radar_images_1/,1592471489.png
28,2020-06-18 09:16:31,/content/bkk_radar_images_1/,1592471791.png
29,2020-06-18 09:26:34,/content/bkk_radar_images_1/,1592472394.png
30,2020-06-18 09:31:37,/content/bkk_radar_images_1/,1592472697.png
31,2020-06-18 09:36:39,/content/bkk_radar_images_1/,1592472999.png
32,2020-06-18 09:41:40,/content/bkk_radar_images_1/,1592473300.png
33,2020-06-18 09:46:41,/content/bkk_radar_images_1/,1592473601.png
34,2020-06-18 09:51:43,/content/bkk_radar_images_1/,1592473903.png
35,2020-06-18 09:56:45,/content/bkk_radar_images_1/,1592474205.png
36,2020-06-18 10:01:47,/content/bkk_radar_images_1/,1592474507.png
37,2020-06-18 10:06:48,/content/bkk_radar_images_1/,1592474808.png
38,2020-06-18 10:11:50,/content/bkk_radar_images_1/,1592475110.png
39,2020-06-18 10:16:52,/content/bkk_radar_images_1/,1592475412.png
40,2020-06-18 10:21:55,/content/bkk_radar_images_1/,1592475715.png
41,2020-06-18 10:26:56,/content/bkk_radar_images_1/,1592476016.png
42,2020-06-18 10:31:57,/content/bkk_radar_images_1/,1592476317.png
43,2020-06-18 10:36:59,/content/bkk_radar_images_1/,1592476619.png
44,2020-06-18 10:42:00,/content/bkk_radar_images_1/,1592476920.png
45,2020-06-18 10:47:01,/content/bkk_radar_images_1/,1592477221.png
46,2020-06-18 10:52:04,/content/bkk_radar_images_1/,1592477524.png
47,2020-06-18 10:57:05,/content/bkk_radar_images_1/,1592477825.png
48,2020-06-18 11:02:06,/content/bkk_radar_images_1/,1592478126.png
49,2020-06-18 11:07:08,/content/bkk_radar_images_1/,1592478428.png
50,2020-06-18 11:12:09,/content/bkk_radar_images_1/,1592478729.png
51,2020-06-18 11:17:11,/content/bkk_radar_images_1/,1592479031.png
